cpf,id_pessoa_fisica,cidade atual,estado atual,estado de origem do cpf
,,,,
,,,,
,41173256,TREMEMBE,SAOPAULO,
,212014803,SALVADOR,BAHIA,
,252868763,PORTOALEGRE,RIOGRANDEDOSUL,
,351777344,CORURIPE,ALAGOAS,
,84464227,GUAPIACU,SAOPAULO,
,191052496,SINOP,MATOGROSSO,
,184044224,RIODEJANEIRO,RIODEJANEIRO,
,42512664,FLORIANOPOLIS,SANTACATARINA,
,265939717,GUARAPARI,ESPIRITOSANTO,
,70925411,MORAUJO,CEARA,
,52404837,SOROCABA,SAOPAULO,
,330187373,FORTALEZA,CEARA,
,803384987,CAPITOLIO,MINASGERAIS,
,151156317,COTIA,SAOPAULO,
,792989333,CAMPOGRANDE,MATOGROSSODOSUL,
,131944776,RIODEJANEIRO,RIODEJANEIRO,
,120050997,RECIFE,PERNAMBUCO,
,10386581,MEDIANEIRA,PARANA,
,127385723,MANAUS,AMAZONAS,
,75820744,SOROCABA,SAOPAULO,
,156591907,MACEIO,ALAGOAS,
,89700507,CATALAO,GOIAS,
,44253557,SAOPAULO,SAOPAULO,
,243776125,FORTALEZA,CEARA,
,276173640,GOIANIA,GOIAS,
,738288411,RIODEJANEIRO,RIODEJANEIRO,
,271350568,NOVALIMA,MINASGERAIS,
,3219061,RIODEJANEIRO,RIODEJANEIRO,
,259521893,GUAPO,GOIAS,
,288244056,ITAPEVA,SAOPAULO,
,657657467,NITEROI,RIODEJANEIRO,
,383727683,FRANCISCOPOLIS,MINASGERAIS,
,6276509,GUARULHOS,SAOPAULO,
,56074997,MONTECARMELO,MINASGERAIS,
,203246013,JOAOMONLEVADE,MINASGERAIS,
,124011072,ITAJAI,SANTACATARINA,
,245067213,AMERICANA,SAOPAULO,
,151547408,CONCEICAODOCOITE,BAHIA,
,187477707,VARZEAGRANDE,MATOGROSSO,
,219755619,PINDAMONHANGABA,SAOPAULO,
,283025448,SAOPAULO,SAOPAULO,
,235451499,SAOPAULO,SAOPAULO,
,692586605,SAOGONCALODOAMARANTE,CEARA,
,653393685,ANANINDEUA,PARA,
,6167291,BELOHORIZONTE,MINASGERAIS,
,148479296,MACEIO,ALAGOAS,
,74825549,SALVADOR,BAHIA,
,38089691,SAOPAULO,SAOPAULO,
,246049187,SAOPAULO,SAOPAULO,
,132151960,SANTANADOLIVRAMENTO,RIOGRANDEDOSUL,
,222461341,BALSAS,MARANHAO,
,197949877,SOROCABA,SAOPAULO,
,143841437,CURITIBA,PARANA,
,2803440,MACEIO,ALAGOAS,
,38792107,SAOPAULO,SAOPAULO,
,351407477,MARACANAU,CEARA,
,362444680,SALVADOR,BAHIA,
,160792376,SENADORLAROCQUE,MARANHAO,
,116020339,ITAPORANGA,PARAIBA,
,246688275,NOVOPLANALTO,GOIAS,
,137225421,JABOATAODOSGUARARAPES,PERNAMBUCO,
,244878067,CAUCAIA,CEARA,
,744247909,RIODEJANEIRO,RIODEJANEIRO,
,760643389,ARACATI,CEARA,
,655940843,TRINDADE,GOIAS,
,110518733,BRASILIA,DISTRITOFEDERAL,
,289118896,FORTALEZA,CEARA,
,751871944,NATAL,RIOGRANDEDONORTE,
