nulo,id_opr_cad_pos,id_mvt_cad_pos,dat_vct,qtd_pcl_vnc,qtd_pcl_pgr,vlr_tot_fat_tfm,vlr_min_fat_tfm,vlr_pcl_tfm,tip_mvt,prd
,,,,,,,,,,
,,,,,,,,,,
,ed78c2f2-fd2,64d85edf-8b3,15062019,,,,,2728.3476,ANT,M
,84706050-586,3e537b64-340,10042019,,,2195.7135,329.3049,,ANT,
,7b3bc686-d7f,930e64c5-777,17022019,,,3791.8644,56870.4600,,ANT,
,57a7735b-83e,79bac911-7a0,10022019,,,,,1284.6519,ANT,M
,c527b570-ce7,81c011a3-349,10102019,,,647.3508,540.4320,,ANT,
,f6e61168-416,9bd8c51f-0e7,15112018,,,,,4608.7257,ANT,M
,b5092b0b-ca7,313590cd-b8c,10032020,,,9760.1352,1598.7780,,ANT,
,24514130-848,66136c4f-971,16042019,,,2183.7873,37113.0000,,ANT,
,85eb1991-e68,dac462c2-e76,15072019,,,,,320.2977,ANT,M
,482e6524-895,bcec6d57-d6e,20102018,,,,,2696.9892,ANT,M
,48981645-9be,dc7b8875-5b1,10112018,,,,,1271.5581,ANT,M
,29ec14f1-444,dbd3d621-1a1,29122018,,,,,6220.6809,ANT,M
,eee02604-7e1,5360d12f-260,28092019,,,100.3302,8340.0000,,ANT,
,7bf07c21-e65,56e07d80-031,8052019,,,741.8013,160.8786,,ANT,
,6cbfbf80-58a,b21d4362-c0b,30092019,,,,,4269.9549,ANT,M
,346c0d87-780,7dbaac2c-a93,1052019,,,46972.2978,7045.7988,,ANT,
,1cc32441-c46,b5ec60b5-844,21112019,,,9439.3371,1415.8818,,ANT,
,a3e1dca7-1e5,48386e25-dfa,7122019,,,1986.8799,297.9882,,ANT,
,2a0d5a44-0af,1fb52615-480,13122018,,,,,2588.8611,ANT,M
,7fd6249b-4cf,e9599c09-f3d,12032019,,,,,6553.5303,ANT,M
,9cc8edc9-be0,543cd765-1b3,12072019,,,,,1398.9099,ANT,M
,a1eccdb9-47b,52a13a58-e7e,2062019,,,,,4929.2736,ANT,M
,95b53c60-28e,8c021f2b-8d8,28102019,,,509.4489,150.1200,,ANT,
,5395b4aa-8dd,c3ceb4e3-95a,2062019,,,,,4266.5772,ANT,M
,d6951ca7-868,08001682-319,29072019,,,324.4677,20016.0000,,ANT,
,4aee8187-a04,33d12aca-50c,20012019,,,,,2167.6494,ANT,M
,e38660e6-a32,f01f35b3-6ef,20022019,,,,,3196.8888,ANT,M
,86a1cac1-4c4,0b060e8e-dcd,5032019,,,1077.7782,29782.1400,,ANT,
,1ae5247d-f37,7a8d7371-3fd,16012020,,,1109.8038,16680.0000,,ANT,
,591883d2-ced,a09a2c04-7a2,10122019,,,2616.2163,133214.8200,,ANT,
,b6eb4f39-dd0,55b893af-90c,24112018,,,,,4275.9180,ANT,M
,46300008-fa0,9abc697f-ea4,21062019,,,,,7479.1452,ANT,M
,9c5003d5-934,450966be-71c,15092019,,,43.7850,4378.5000,,ANT,
,f411650a-03d,49d9952b-c95,5122019,,,10521.8274,1578.2199,,ANT,
,4c374f18-359,73a76365-eda,15052019,,,5433.6351,871.1547,,ANT,
