nulo,id_opr_cad_pos,id_mvt_cad_pos,id_pgt_cad_pos,dat_pgt,dat_vct_tfm,vlr_pgt_tfm,cod_mdl,cmd
,,,,,,,,
,,,,,,,,
,c8176e21-845,cd596c84-3fe,f4ef9e73-e02,13/10/19,2019-10-13,591.3060,D01,E
,a3fad4d7-ad7,3736da82-cd3,cffcab96-2b4,01/03/20,2020-03-01,6880.2081,D01,E
,7fd6249b-4cf,f66a2496-e0a,b021cf9e-409,07/12/18,2019-12-12,6553.5303,B05,I
,90fb53f6-225,0e3217ed-88e,72854add-8b9,07/08/19,2019-08-05,5980.6140,C01,I
,e4d0eaed-0c6,48a5b038-4ed,453f0f88-7e9,11/02/19,2019-02-28,2301.7983,B05,I
,c4ccd097-196,dd94b68a-f93,f1cf992a-b7b,13/03/19,2020-10-11,4020.5472,B05,I
,c4ccd097-196,914dbfc1-e4c,f4c5862c-b0a,13/03/19,2022-01-11,4020.5472,B05,I
,cf5371bd-b3e,e03552e7-bde,10acefa3-44a,14/01/20,2020-01-15,1475.0541,D01,E
,41a34861-439,64a21e82-6ba,005bd215-d95,23/09/19,2019-10-05,3.5028,D01,I
,e118eeac-2db,f4716625-72d,893b8b37-0c4,06/09/19,2019-09-30,4843.3299,B05,I
,11620505-59e,0c9b89d0-fb5,590f7397-d47,07/10/19,2019-10-10,1337.8194,D01,E
,15007258-fd3,1268fbbb-0ec,d0ff41cc-998,22/07/19,2019-07-18,1989.7572,D01,E
,298d1535-ee9,b01f0880-d9b,64ba6dd2-9fb,11/02/19,2019-02-10,3091.0125,C01,I
,5832f502-f05,60ed8e9e-bbe,be36779e-ca0,14/08/19,2019-08-12,3007.1955,D01,E
,ab29e149-b3d,7413bc0f-914,4d612e6c-f72,05/08/19,2019-08-10,2847.7347,D01,E
,ab29e149-b3d,9d83c907-dfd,796a9828-23a,06/03/19,2019-03-10,678.0003,D01,E
,7b825c8f-74f,287bfa35-9c8,4861c24e-a97,14/01/20,2020-01-15,87.4866,D01,E
,b13cbff3-8cd,cf26bbf1-835,6032656f-afd,02/08/19,2019-08-02,2664.4632,D01,E
,231348cd-a1e,4807af24-12e,4b5b3ce9-a33,16/09/19,2019-09-17,882.3303,D01,E
,4874f1c4-ec9,b7a8e2dd-25b,e9a55b16-0d0,10/12/18,2018-12-10,5489.8467,C01,I
,1cc32441-c46,a03335fb-a75,a5c6e84f-c8b,21/10/19,2019-10-21,10311.9096,D01,E
,b1231b78-a55,e8d6eb9b-30c,13f03f08-8cc,15/04/19,2019-04-15,5108.4168,C01,I
,bb893ed1-579,5b785bfa-4c3,eae0927d-6b2,10/09/19,2019-09-10,56.2950,D01,E
,e83d12b3-8d4,65a9309a-c03,a79a9819-3fd,15/07/19,2019-07-15,370.1292,D01,E
,15c5a87b-2a2,dc6f2fbf-1e3,3b291ae9-46c,05/11/19,2019-11-12,1678.6335,C01,I
,44129738-5d2,64974cc5-b61,4ea609dd-ded,30/07/19,2019-07-29,417.0000,D01,E
,e803203b-6c4,f24366a0-7ab,d717cfb1-ee8,10/06/19,2019-06-10,1084.4085,C01,I
